category,description,identifier,name,website
Computers Electronics and Technology,"1&1 IONOS is a web hosting company that provides a range of web hosting, domain registration, and website building services to individuals and businesses. They offer shared hosting, dedicated servers, VPS hosting, and cloud hosting solutions, as well as e-commerce tools, email hosting, and online marketing services.",1and1ionos,1&1 IONOS,https://www.ionos.com/
Finance,"ABSA (Amalgamated Banks of South Africa) is a South African financial services company that offers a wide range of banking and financial products and services to individuals, businesses, and commercial clients.",absa,Amalgamated Banks of South Africa,https://www.absa.co.za/
Computers Electronics and Technology,"Adobe is a technology company that creates software applications with a creative design edge, such as Photoshop, Acrobat Reader, and Adobe Creative Cloud.",adobe,Adobe,https://www.adobe.com/
eCommerce and Shopping,"Alibaba is a Chinese multinational technology company that specializes in e-commerce, retail, internet, and technology",alibaba,Alibaba,https://www.alibaba.com/
eCommerce and Shopping,"Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence.",amazon,Amazon,https://www.amazon.com/
Finance,"ANZ Bank is an Australian multinational banking and financial services company headquartered in Melbourne, Australia.",anzbank,ANZ Bank,https://www.anz.com.au/personal/
Email,AOL (America Online) is an American web portal and online service provider based in New York City.,aol,AOL (America Online),https://www.aol.com/
Computers Electronics and Technology,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California. It designs, develops, and sells consumer electronics, computer software, and online services.",apple,Apple,https://www.apple.com/
Computers Electronics and Technology,"Aruba Networks, formerly known as Aruba Wireless Networks, is a Santa Clara, California-based cloud based security networking subsidiary of Hewlett Packard Enterprise company.",aruba,Aruba Networks,https://www.arubacloud.com/
Telecommunications,"AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas.",att,AAT&T Inc.,https://www.att.com/
Telecommunications,"""auone.jp"" is a website and online portal operated by KDDI Corporation, a Japanese telecommunications company.",auid,auone.jp,https://portal.auone.jp/
Finance,Intesa Sanpaolo S.p.A. is an Italian international banking group.,bancaintesasanpaolo,Banca Intesa Sanpaolo,https://www.intesasanpaolo.com/
Finance,-,bancoindustrial,Banco Industrial,https://www.corporacionbi.com/gt/bancoindustrial/
Finance,"Banco Itaú S.A. was a former Brazilian bank that merged with Unibanco on November 4, 2008, to form Banco Itaú Unibanco.",bancoitau,Banco Itaú,https://www.itau.com.br/
Finance,"Bancolombia S.A. is a full-service financial institution that provides financial products and services in Colombia, Panama, El Salvador, Puerto Rico, the Cayman Islands, Peru and Guatemala.",bancolombia,Bancolombia,https://www.bancolombia.com/
Finance,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered at the Bank of America Corporate Center in Charlotte, North Carolina, with investment banking and auxiliary headquarters in Manhattan. The bank was founded in San Francisco, California.",bankofamerica,Bank of America,https://www.bankofamerica.com/
Finance,-,banquepostale,La Banque Postale,https://www.labanquepostale.fr/
Finance,-,banreservas,Banreservas,https://www.banreservas.com/
Finance,-,bantrab,Bantrab,https://www.bantrab.com.gt/
Finance,-,bdobank,Banco de Oro,https://www.bdo.com.ph/
Computers Electronics and Technology,"BIGLOBE is one of the leading internet service providers in Japan, operated by NEC BIGLOBE, Ltd., a 2006 spin-off from NEC.",biglobe,BIGLOBE,https://www.biglobe.ne.jp/
Telecommunications,-,bimcell,Bimcell,https://www.bimcell.com.tr/
Finance,"BPER Banca S.p.A., formerly known as Banca Popolare dell'Emilia Romagna S.C., is an Italian banking group offering traditional banking services to individuals, corporate and public entities. The company is based in Modena and is a constituent of the FTSE MIB index.",bperbanca,BPER Banca,https://www.bper.it/
Telecommunications,"BT Group plc is a British multinational telecommunications holding company headquartered in London, England. It has operations in around 180 countries and is the largest provider of fixed-line, broadband and mobile services in the UK, and also provides subscription television and IT services.",bt,BT,https://www.bt.com/
Finance,Chainlink is a decentralized blockchain oracle network built on Ethereum.,chainlink,Chainlink,https://chain.link/
Finance,"JPMorgan Chase Bank, N.A., doing business as Chase, is an American national bank headquartered in New York City, that constitutes the consumer and commercial banking subsidiary of the U.S. multinational banking and financial services holding company, JPMorgan Chase.",chase,Chase Bank,https://www.chase.com/
Finance,"Citibank, N. A. is the primary U.S. banking subsidiary of financial services multinational Citigroup. Citibank was founded in 1812 as the City Bank of New York, and later became First National City Bank of New York.",citibank,Citibank,https://www.citi.com/
Finance,"Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island, which operates in the states of Connecticut, Delaware, Florida, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, and Virginia, as well as Washington, DC.",citizensbank,Citizens Bank,https://www.citizensbank.com/
Finance,"Coinbase Global, Inc., branded Coinbase, is an American publicly traded company that operates a cryptocurrency exchange platform.",coinbase,Coinbase,https://www.coinbase.com/
Finance,"CommBank offers personal banking, business solutions, institutional banking, company information, and more.",commonwealthbank,Commonwealth Bank,https://www.commbank.com.au/
Finance,"Crédit Agricole Group, sometimes called La banque verte due to its historical ties to farming, is a French international banking group and the world's largest cooperative financial institution. It is France's second largest bank, after BNP Paribas, as well as the third largest in Europe and tenth largest in the world.",creditagricole,Crédit Agricole,https://www.credit-agricole.fr/
Finance,"DBS Bank Limited, often known as DBS, is a Singaporean multinational banking and financial services corporation headquartered at the Marina Bay Financial Centre in the Marina Bay district of Singapore.",dbsbank,DBS Bank,https://www.dbs.com/
Finance,DenizBank A.Ş. is a large private bank in Turkey. It is currently owned by Emirates NBD. It was owned and controlled by leading Russian bank Sberbank from 2012 to 2019.,denizbank,DenizBank,https://www.denizbank.com/
Shipping and Logistics,"DHL is an American-founded German logistics company providing courier, package delivery and express mail service, delivering over 1.8 billion parcels per year.",dhl,DHL,https://www.dhl.com/
Computers Electronics and Technology,Discord is a VoIP and instant messaging social platform.,discord,Discord,https://discord.com/
Finance,-,dkb,Das kann Bank,https://www.dkb.de/
Computers Electronics and Technology,"DocuSign, Inc. is an American company headquartered in San Francisco, California, that allows organizations to manage electronic agreements.",docusign,DocuSign,https://www.docusign.com/
eCommerce and Shopping,"eBay Inc. is an American multinational e-commerce company based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",ebay,eBay,https://www.ebay.com/
Other,-,excelpdfdownload,Excel PDF Download,-
Social Media Networks,"Facebook is a social networking website that was founded in February 2004 by Harvard University students Chris Hughes, Andrew McCollum, Dustin Moskovitz, Eduardo Saverin and Mark Zuckerberg.",facebook,Facebook,https://www.facebook.com/
Finance,Garanti BBVA is a Turkish financial services company based in Turkey.,garanti,Garanti BBVA,https://www.garantibbva.com.tr/
Other,-,generic,Generic,-
Other,-,genericcrypto,Generic Crypto,-
Other,-,genericemail,Generic Email,-
Email,"Google LLC is an American multinational technology company focusing on online advertising, search engine technology, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics.",google,Google,https://www.google.com/
Other,The official Australian Government response website to provide support and updates to Australians on the Coronavirus pandemic.,govau,Australian Government,https://my.gov.au/
Finance,HDFC Bank Limited is an Indian banking and financial services company headquartered in Mumbai. It is India's largest private sector bank by assets and world's 10th largest bank by market capitalisation as of April 2021.,hdfcbank,HDFC Bank,https://www.hdfcbank.com/
Other,Hipercard is a widely accepted Brazilian card scheme.,hipercard,Hipercard,https://www.hipercard.com.br/
Other,-,impotsgouv,impotsgouv,https://www.impots.gouv.fr/
Social Media Networks,Instagram is a photo and video sharing social networking service owned by American company Meta Platforms.,instagram,Instagram,https://www.instagram.com/
Other,Leboncoin is a classified ads website founded in France in 2006 by the Norwegian conglomerate Schibsted. Its economic model is based on the free service for individuals and the matching of local supply and demand.,leboncoin,Leboncoin,https://www.leboncoin.fr/
Social Media Networks,LinkedIn is a business and employment-focused social media platform that works through websites and mobile apps.,linkedin,LinkedIn,https://www.linkedin.com/
eCommerce and Shopping,Made-in-China.com is leading comprehensive third party B2B e-commerce platform in China.,madeinchina,Made-in-China.com,https://www.made-in-china.com/
Finance,"MetaMask is a software cryptocurrency wallet used to interact with the Ethereum blockchain. It allows users to access their Ethereum wallet through a browser extension or mobile app, which can then be used to interact with decentralized applications.",metamask,MetaMask,https://metamask.io/
Computers Electronics and Technology,"Microsoft Corporation is an American multinational technology corporation headquartered in Redmond, Washington.",microsoft,Microsoft,https://www.microsoft.com/
Finance,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",mtbank,M&T Bank,https://www3.mtb.com/
Other,"Netflix, Inc. is an American media company based in Los Gatos, California.",netflix,Netflix,https://www.netflix.com/
Finance,"Navy Federal Credit Union is a global credit union headquartered in Vienna, Virginia, chartered and regulated under the authority of the National Credit Union Administration.",nfcu,Navy Federal Credit Union,https://www.navyfederal.org/
Computers Electronics and Technology,"Microsoft 365 is a product family of productivity software, collaboration and cloud-based services owned by Microsoft.",office365,Microsoft 365,https://www.office.com/
Computers Electronics and Technology,Microsoft OneDrive is a file hosting service operated by Microsoft.,onedrive,OneDrive,https://onedrive.live.com/
Finance,OpenSea is an American non-fungible token marketplace headquartered in New York City.,opensea,OpenSea,https://opensea.io/
Email,Orange.fr is a popular email service commonly used for personal account creation.,orange,Orange,https://www.orange.fr/
Finance,"PayPal Holdings, Inc. is an American multinational financial technology company operating an online payments system in the majority of countries that support online money transfers, and serves as an electronic alternative to traditional paper methods such as checks and money orders.",paypal,PayPal,https://www.paypal.com/
Finance,"Postbank is the retail banking division of Deutsche Bank, which was formed from the demerger of the postal savings division of Deutsche Bundespost in 1990. Since May 2018, it operates as a brand of Deutsche Bank's retail arm.",postbank,Deutsche Postbank,https://www.postbank.de/
Shipping and Logistics,"Poste Italiane S.p.A. is the Italian postal service provider. Besides providing postal services, Italian Post Group offers communication, postal savings products, logistics, and financial and insurance services throughout Italy.",posteitaliane,Poste Italiane,https://www.poste.it/
eCommerce and Shopping,"Rakuten Group, Inc. is a Japanese technology conglomerate based in Tokyo, founded by Hiroshi Mikitani in 1997.",rakuten,Rakuten,https://www.rakuten.co.jp/
Finance,"Banco Santander, S.A., doing business as Santander Group, is a Spanish multinational financial services company based in Madrid and Santander in Spain.",santander,Santander,https://www.santander.com/
Other,"Swiss Federal Railways (German: Schweizerische Bundesbahnen, SBB; French: Chemins de fer fédéraux suisses, CFF; Italian: Ferrovie federali svizzere, FFS) is the national railway company of Switzerland.",sbbch,Swiss Federal Railways,https://www.sbb.ch/
Finance,"State Bank of India is an Indian multinational public sector bank and financial services statutory body headquartered in Mumbai, Maharashtra.",sbi,State Bank of India,https://www.onlinesbi.sbi/
Telecommunications,French telecommunications company,sfrfr,SFR,https://www.sfr.fr/
Finance,"Sumitomo Mitsui Banking Corporation Group is a Japanese multinational banking and financial services institution headquartered in Yurakucho, Chiyoda, Tokyo, Japan.",smbc,Sumitomo Mitsui Banking Corporation,https://www.smbc.co.jp/
Finance,-,sparkasse,Sparkasse,https://www.sparkasse.de/
Computers Electronics and Technology,"A financial technology company that provides small businesses and individuals with payment processing services, point-of-sale software, and financial tools such as invoicing and inventory management.",square,Square,https://squareup.com/
Other,Steam is a video game digital distribution service and storefront from Valve.,steam,Steam,https://store.steampowered.com/
Shipping and Logistics,Swiss Post is the national postal service of Switzerland.,swisspost,Swiss Post,https://www.post.ch/
Telecommunications,Deutsche Telekom AG is a German telecommunications company that is headquartered in Bonn and is the largest telecommunications provider in Europe by revenue.,telekom,Telekom,https://www.telekom.com/
Finance,Trust Wallet is cryptocurrency wallet software that allows you to trade various cryptocurrencies safely.,trustwallet,Trust Wallet,https://trustwallet.com/
Finance,"The Union Bank of the Philippines, Inc., more commonly known as UnionBank, is one of the universal banks in the Philippines.",unionbankph,Unionbank,https://www.unionbankph.com/
Finance,Uniswap is a decentralized cryptocurrency exchange that uses a set of smart contracts to execute trades on its exchange.,uniswap,Uniswap,https://uniswap.org/
Shipping and Logistics,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,ups,United Parcel Service,https://www.ups.com/
Shipping and Logistics,"The United States Postal Service, also known as the Post Office, U.S. Mail, or Postal Service, is an independent agency of the executive branch of the United States federal government responsible for providing postal service in the U.S., including its insular areas and associated states.",usps,United States Postal Service,https://www.usps.com/
Finance,Wells Fargo & Company is an American multinational financial services company with a significant global presence.,wellsfargo,Wells Fargo,https://www.wellsfargo.com/
Social Media Networks,"WhatsApp is an internationally available freeware, cross-platform, centralized instant messaging and voice-over-IP service owned by US tech conglomerate Meta.",whatsapp,WhatsApp,https://www.whatsapp.com/
Telecommunications,"Comcast Cable Communications, LLC, doing business as Xfinity, is an American telecommunications company and division of Comcast Corporation used to market consumer cable television, internet, telephone, and wireless services provided by the company.",xfinity,Xfinity,https://www.xfinity.com/
Email,"Yahoo is an American web services provider. It is headquartered in Sunnyvale, California.",yahoo,Yahoo!,https://www.yahoo.com/
Other,"The Yamato Transport Company, Ltd. is one of Japan's largest door-to-door delivery service companies, with a market share of 41%, competing closely with Sagawa Express and Nippon Express.",yamatotransport,YAMATO TRANSPORT,https://www.kuronekoyamato.co.jp/
